,case_id,submitter_id,MKI67_tpm_unst,ERBB2_tpm_unst,ESR1_tpm_unst,PGR_tpm_unst
182,3a711140-1b89-4611-9992-3861e3d0e01a,TCGA-A8-A06N,12.1649,245.5863,702.6453,0.2306
183,d4e7426c-9739-4585-9114-e564b13c7c02,TCGA-BH-A1FG,0.4228,14.9014,69.4204,17.77
184,d67cd793-2931-429a-9084-2f3c4c8be7ad,TCGA-A2-A0EY,32.451,1680.5636,87.8834,0.4756
185,c5891c7a-fd24-4891-8f51-373967e4a6dd,TCGA-BH-A0AW,24.1398,1481.9372,3.1669,0.3182
186,9c55032f-4db7-4026-ae83-8d060dd8e3fe,TCGA-D8-A27I,12.1895,117.7011,158.8337,32.4659
187,d5e9a403-88ce-40fc-bb85-80cf3f8ff6bc,TCGA-D8-A1J9,,,,
188,d69e59a8-b10b-46f5-b859-b6c178d90506,TCGA-A7-A0CJ,,,,
189,c694615c-b1c6-499c-8058-995633ebf948,TCGA-E9-A1RF,0.4323,6.6486,8.1691,1.8175
190,cf0e7e4e-b857-4db5-9ae2-551a899f77be,TCGA-AN-A0XP,10.9492,177.4658,562.6695,64.4769
191,c744fc13-3aca-4245-9e24-abd368cc8bef,TCGA-A2-A0CX,29.5757,1465.7897,2.9912,0.5419
192,6f89509c-f802-482e-b4da-94553aa76fe9,TCGA-AR-A24H,73.8092,269.6186,199.4186,13.3676
193,d8492ebd-3d94-4a4b-8de7-386526691cc2,TCGA-E2-A1BC,3.0539,194.4248,111.9675,53.4487
194,dcd5860c-7e3a-44f3-a732-fe92fe3fe300,TCGA-AN-A046,16.5196,100.6484,202.7067,164.2788
195,d9627184-b972-4e00-8c11-b0b946ac357a,TCGA-AC-A5XS,,,,
196,ca76c6fc-ff30-4833-884d-3a94fe53ff17,TCGA-BH-A0EE,25.0522,498.4834,3.1141,0.0464
197,d9dc3b59-613d-469e-8b4f-6c5a557eb26a,TCGA-EW-A3U0,,,,
198,747083ff-0703-431b-aad4-f2adff739516,TCGA-BH-A18G,19.9758,20.6101,0.4148,0.1093
199,da286247-e8bb-4941-a2af-2453fe61cd02,TCGA-EW-A1PG,3.7276,130.3055,49.9466,27.8096
200,5c59028f-b8fa-4811-8314-be3eaed5f364,TCGA-EW-A6SB,8.6266,21.7536,0.4333,0.0874
201,da840a22-8d30-4682-bbd0-8fa87bd40528,TCGA-E2-A15C,10.7678,212.9728,300.1964,145.5586
202,daf62b56-6dd2-4ab7-adaa-f296bb86a0a5,TCGA-AR-A1AV,24.0033,211.0046,428.0594,75.9988
203,0b172e29-6166-4863-803d-a0a010887c11,TCGA-B6-A0RO,5.7372,173.8683,389.9688,3.9436
204,72e486b8-a866-4916-b2e4-8b4bb5dcd92d,TCGA-A8-A07R,96.4611,100.2994,0.2473,0.0883
205,db62d9c7-8343-4771-84fc-146d2e307bb8,TCGA-AR-A24R,38.9984,93.7483,134.9298,18.3474
206,db8d38ab-cc61-49ee-863d-40060112f2af,TCGA-A8-A08H,37.6286,39.8386,33.394,9.2334
207,b804f7ae-da8f-4414-be11-f880f1859160,TCGA-B6-A0IC,24.8041,166.7265,567.2348,121.6067
208,dbb2da92-99dd-400c-bc05-e87d7273656c,TCGA-E2-A1B4,3.5693,174.9985,331.9626,81.0437
209,dc696e3c-f448-468f-a576-f4429be0338a,TCGA-A2-A0SY,16.4518,420.0192,146.6506,50.918
210,dc11b1c7-1f00-4813-b4b5-ecf776b2eb37,TCGA-C8-A26Z,21.3375,223.5495,1062.9508,0.9088
211,b5fba77b-1f50-4e71-95b2-566afba4bdd7,TCGA-A2-A04Q,33.4451,35.8567,1.1941,1.0048
212,dcb68327-1537-4ca6-81de-3910d0663cb8,TCGA-C8-A8HR,22.369,96.3739,32.6826,8.4189
213,074e8b06-3929-4896-9263-3b80ad6a355b,TCGA-AR-A24S,78.9481,60.0592,177.7585,46.1661
214,dcfd0b1d-5707-44a6-b225-5e8f7cea5ca1,TCGA-A8-A097,25.7749,548.4969,179.9803,36.3998
215,59bf0ce4-715a-4017-bccb-c59916e78324,TCGA-A8-A07U,54.3566,76.1267,4.2562,0.5374
216,dd67408e-46ba-4573-9415-d4814e9f84de,TCGA-E9-A226,34.3382,73.0552,180.8618,87.7362
217,dd6b64a8-d546-4fd1-bbbd-ac9703791cae,TCGA-AO-A03T,8.2196,29.2507,25.8341,2.6339
218,7b605fb6-d077-401e-b870-b87ddf505f82,TCGA-A8-A0A9,34.5425,204.9362,338.464,59.7503
219,0bc5744c-5fa3-45bb-87d0-70a02068b392,TCGA-BH-A0DG,34.5105,75.8719,55.4687,2.1513
220,6fa2a667-9c36-4526-8a58-1975e863a806,TCGA-AC-A2BK,82.4856,34.8446,0.2301,0.0955
221,0c1023c0-d2ce-4940-8047-7642f1dc3965,TCGA-BH-A0HB,20.406,70.664,329.4863,19.1862
222,7032ec9c-e96b-4642-a7b6-d0aee7a3add2,TCGA-A2-A0EV,19.6382,226.5908,186.5277,119.8026
223,0d03055c-186b-418a-b614-e2035757bc3b,TCGA-D8-A1JS,3.0124,157.2236,169.6779,91.5871
224,0dca98b0-f43e-45b6-9a02-00092c78678c,TCGA-D8-A27H,75.0303,85.3709,0.6258,0.5471
225,71229981-97c2-4ae1-a130-fe5de336b37d,TCGA-C8-A12T,80.9642,714.7918,28.9174,20.4827
